artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
YG,2RM4jf1Xa9zPgMGRDiht8O,"Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj",0.00582,0.743,238373,0.339,0,1,0.0812,-7.678,1,0.409,203.927,4,0.118,44
YG,1tHDG53xJNGsItRA3vfVgs,BAND DRUM (feat. A$AP Rocky),0.0244,0.846,214800,0.557,0,8,0.286,-7.259,1,0.457,159.009,4,0.371,10
R3HAB,6Wosx2euFPMT14UXiWudMy,Radio Silence,0.025,0.603,138913,0.723,0,9,0.0824,-5.89,0,0.0454,114.966,4,0.382,63
Chris Cooq,3J2Jpw61sO7l6Hc7qdYV91,Lactose,0.0294,0.8,125381,0.579,0.912,5,0.0994,-12.118,0,0.0701,123.003,4,0.641,9
Chris Cooq,2jbYvQCyPgX3CdmAzeVeuS,Same - Original mix,3.52E-05,0.783,124016,0.792,0.878,7,0.0332,-10.277,1,0.0661,120.047,4,0.928,8
Curbo,26Y1lX7ZOpw9Ql3gGAlqLK,Debauchery - Original mix,0.00115,0.81,124016,0.417,0.919,9,0.106,-10.783,0,0.0793,120.025,4,0.837,8
Bingo Play,5eIyK73BrxHLnly4F9PWqg,Grandma - Original mix,0.000539,0.819,132742,0.72,0.863,4,0.0727,-8.895,0,0.151,124.003,4,0.934,8
G Herbo,13Mf2ZBpfNkgWJowvM5hXh,Bon appétit,0.115,0.885,181838,0.348,0,9,0.107,-12.569,1,0.451,142.111,4,0.18,10
34 Feet,7BQaRTHk44DkMhIVNcXy2D,Among - Original mix,5.84E-05,0.74,124016,0.472,0.847,8,0.0959,-9.008,1,0.0551,120.034,4,0.622,8
Chris Cooq,049RxG2laEl9U1PGYeIqLV,Hazard - Original mix,8.11E-05,0.813,132742,0.731,0.91,11,0.0727,-8.932,1,0.0697,124.031,4,0.944,7
Jarka,118GQ70Sp6pMqn6w1oKuki,Strummer - Original mix,0.000784,0.787,124016,0.83,0.784,1,0.0373,-10.457,1,0.162,119.988,4,0.896,7
Big Koola,6S7cr72a7a8RVAXzDCRj6m,Big Racks - Original mix,0.000106,0.777,128016,0.865,0.812,7,0.0791,-12.181,1,0.117,119.979,4,0.695,7
Scatox,7h2qWpMJzIVtiP30E8VDW4,Rulet - Original mix,0.000223,0.796,132742,0.698,0.919,10,0.0727,-8.86,0,0.0792,123.973,4,0.964,7
Jupitar,3KVQFxJ5CWOcbxdpPYdi4o,Head - Original mix,3.74E-05,0.815,134769,0.709,0.938,1,0.0892,-10.666,1,0.0779,122.001,4,0.489,7
Curbo,0JjNrI1xmsTfhaiU1R6OVc,Defeding - Original mix,1.35E-05,0.799,124016,0.573,0.915,0,0.0782,-9.83,1,0.0576,120.079,4,0.766,7
Junkee,3HjTcZt29JUHg5m60QhlMw,Jupiter - Original mix,7.42E-05,0.812,134769,0.581,0.914,1,0.0892,-11.598,1,0.0874,121.994,4,0.503,7
Mamuton,42LWRdkWxM9aWmDImWvH6C,Koonra - Original mix,0.000851,0.811,124016,0.709,0.929,7,0.0628,-10.885,1,0.0504,120.007,4,0.653,7
Yellow Ey,32dMH9MvlTJaABrPHY52Yb,Spouse - Original mix,0.0315,0.746,127727,0.645,0.966,1,0.134,-16.615,0,0.0532,124.032,4,0.0359,7
